State,District,Abbv,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Total Votes,Dem_races,GOP_races,All_minus_Dem,All_minus_GOP,FMargin,Dem_perc,GOP_perc,Other_perc,DemMargin_perc,2016ClintonMargin_perc,Swing_vs_2016_Prez_perc,2016 Total Votes Cast,RawVotes_vs_2016_perc
New York,NY-2,NY,2,R+3,Peter King,R,113074,128058,0,241132,FALSE,TRUE,14984,-14984,7234,0.4689,0.5311,0.0000,-0.0621,-0.0890,0.0269,315405.0000,0.7645
Kansas,KS-2,KS,2,R+10,Steve Watkins,R,123859,126098,14731,264688,FALSE,FALSE,16970,12492,7941,0.4679,0.4764,0.0557,-0.0085,-0.1830,0.1745,296810.0000,0.8918
Texas,TX-10,TX,10,R+9,Michael McCaul,R,144034,157166,6627,307827,FALSE,TRUE,19759,-6505,9235,0.4679,0.5106,0.0215,-0.0427,-0.0910,0.0483,317561.0000,0.9693
Virginia,VA-5,VA,5,R+6,Denver Riggleman,R,145040,165339,547,310926,FALSE,TRUE,20846,-19752,9328,0.4665,0.5318,0.0018,-0.0653,-0.1100,0.0447,367564.0000,0.8459
Alaska,AK-AL,AK,AL,R+9,Don Young,R,131199,149779,1188,282166,FALSE,TRUE,19768,-17392,8465,0.4650,0.5308,0.0042,-0.0658,-0.1470,0.0812,318608.0000,0.8856
Texas,TX-22,TX,22,R+10,Pete Olson,R,138153,152750,6502,297405,FALSE,TRUE,21099,-8095,8922,0.4645,0.5136,0.0219,-0.0491,-0.0780,0.0289,308653.0000,0.9636
Montana,MT-AL,MT,AL,R+11,Greg Gianforte,R,233284,256661,14476,504421,FALSE,TRUE,37853,-8901,15133,0.4625,0.5088,0.0287,-0.0463,-0.2040,0.1577,497119.0000,1.0147
Michigan,MI-7,MI,7,R+7,Tim Walberg,R,136330,158730,0,295060,FALSE,TRUE,22400,-22400,8852,0.4620,0.5380,0.0000,-0.0759,-0.1700,0.0941,340831.0000,0.8657
California,CA-4,CA,4,R+10,Tom McClintock,R,156253,184401,0,340654,FALSE,TRUE,28148,-28148,10220,0.4587,0.5413,0.0000,-0.0826,-0.1450,0.0624,360284.0000,0.9455
Arkansas,AR-2,AR,2,R+7,French Hill,R,116135,132125,5193,253453,FALSE,TRUE,21183,-10797,7604,0.4582,0.5213,0.0205,-0.0631,-0.1070,0.0439,306974.0000,0.8256
North Carolina,NC-2,NC,2,R+7,George Holding,R,151977,170072,9655,331704,FALSE,TRUE,27750,-8440,9951,0.4582,0.5127,0.0291,-0.0546,-0.1150,0.0604,397196.0000,0.8351
New York,NY-23,NY,23,R+6,Tom Reed,R,109932,130323,0,240255,FALSE,TRUE,20391,-20391,7208,0.4576,0.5424,0.0000,-0.0849,-0.1470,0.0621,293287.0000,0.8192
Florida,FL-18,FL,18,R+5,Brian Mast,R,156454,185905,0,342359,FALSE,TRUE,29451,-29451,10271,0.4570,0.5430,0.0000,-0.0860,-0.0920,0.0060,382476.0000,0.8951
Michigan,MI-6,MI,6,R+4,Fred Upton,R,134082,147436,11920,293438,FALSE,TRUE,25274,-1434,8803,0.4569,0.5024,0.0406,-0.0455,-0.0840,0.0385,332772.0000,0.8818
Texas,TX-2,TX,2,R+11,Dan Crenshaw,R,119992,139188,4212,263392,FALSE,TRUE,23408,-14984,7902,0.4556,0.5284,0.0160,-0.0729,-0.0920,0.0191,279891.0000,0.9411
North Carolina,NC-13,NC,13,R+6,Ted Budd,R,130402,147570,8344,286316,FALSE,TRUE,25512,-8824,8589,0.4554,0.5154,0.0291,-0.0600,-0.0920,0.0320,368114.0000,0.7778
Texas,TX-6,TX,6,R+9,Ron Wright,R,116350,135961,3731,256042,FALSE,TRUE,23342,-15880,7681,0.4544,0.5310,0.0146,-0.0766,-0.1220,0.0454,276953.0000,0.9245
Florida,FL-16,FL,16,R+7,Vern Buchanan,R,164463,197483,0,361946,FALSE,TRUE,33020,-33020,10858,0.4544,0.5456,0.0000,-0.0912,-0.1080,0.0168,396807.0000,0.9121
Illinois,IL-12,IL,12,R+5,Mike Bost,R,118724,134884,7935,261543,FALSE,TRUE,24095,-8225,7846,0.4539,0.5157,0.0303,-0.0618,-0.1480,0.0862,316371.0000,0.8267
Washington,WA-5,WA,5,R+8,Cathy McMorris Rodgers,R,144925,175422,0,320347,FALSE,TRUE,30497,-30497,9610,0.4524,0.5476,0.0000,-0.0952,-0.1300,0.0348,319560.0000,1.0025
Minnesota,MN-8,MN,8,R+4,Pete Stauber,R,141950,159364,12897,314211,FALSE,TRUE,30311,-4517,9426,0.4518,0.5072,0.0410,-0.0554,-0.1550,0.0996,362341.0000,0.8672
Indiana,IN-2,IN,2,R+11,Jackie Walorski,R,103363,125499,27,228889,FALSE,TRUE,22163,-22109,6867,0.4516,0.5483,0.0001,-0.0967,-0.2300,0.1333,277734.0000,0.8241
California,CA-1,CA,1,R+11,Doug LaMalfa,R,131548,160046,0,291594,FALSE,TRUE,28498,-28498,8748,0.4511,0.5489,0.0000,-0.0977,-0.1940,0.0963,318397.0000,0.9158
Arizona,AZ-6,AZ,6,R+9,David Schweikert,R,140559,173140,0,313699,FALSE,TRUE,32581,-32581,9411,0.4481,0.5519,0.0000,-0.1039,-0.0980,-0.0059,343997.0000,0.9119
Texas,TX-25,TX,25,R+11,Roger Williams,R,136385,163023,5145,304553,FALSE,TRUE,31783,-21493,9137,0.4478,0.5353,0.0169,-0.0875,-0.1470,0.0595,315361.0000,0.9657
Ohio,OH-14,OH,14,R+5,David Joyce,R,137549,169809,0,307358,FALSE,TRUE,32260,-32260,9221,0.4475,0.5525,0.0000,-0.1050,-0.1140,0.0090,370746.0000,0.8290
Virginia,VA-1,VA,1,R+8,Rob Wittman,R,148464,183250,387,332101,FALSE,TRUE,35173,-34399,9963,0.4470,0.5518,0.0012,-0.1047,-0.1240,0.0193,395784.0000,0.8391
