State,District,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Total Votes,"Field
Margin",All_minus_Dem,All_minus_GOP,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Washington,WA-1,D+4,Suzan DelBene,D,193619,155779,0,349398,10482,-37840,37840,55.4%,44.6%,0.0%,-10.8%,"-37,840",x,Clinton
Washington,WA-2,D+8,Rick Larsen,D,208314,117094,0,325408,9762,-91220,91220,64.0%,36.0%,0.0%,-28.0%,"-91,220",x,Clinton
Washington,WA-3,R+2,Jaime Herrera Beutler,R,119820,193457,0,313277,9398,73637,-73637,38.2%,61.8%,0.0%,23.5%,"73,637",x,Trump
Washington,WA-4,R+13,Dan Newhouse,R,0,229919,0,229919,6898,229919,-229919,0.0%,100.0%,0.0%,100.0%,"229,919",x,Trump
Washington,WA-5,R+7,Cathy McMorris Rodgers,R,130575,192959,0,323534,9706,62384,-62384,40.4%,59.6%,0.0%,19.3%,"62,384",x,Trump
Washington,WA-6,D+5,Derek Kilmer,D,201718,126116,0,327834,9835,-75602,75602,61.5%,38.5%,0.0%,-23.1%,"-75,602",x,Clinton
Washington,WA-7,D+29,Pramila Jayapal,D,378754,0,0,378754,11363,-378754,378754,100.0%,0.0%,0.0%,-100.0%,"-378,754",x,Clinton
Washington,WA-8,R+1,Dave Reichert,R,127720,193145,0,320865,9626,65425,-65425,39.8%,60.2%,0.0%,20.4%,"65,425",x,Clinton
Washington,WA-9,D+17,Adam Smith,D,205165,76317,0,281482,8444,-128848,128848,72.9%,27.1%,0.0%,-45.8%,"-128,848",x,Clinton
Washington,WA-10,D+5,Denny Heck,D,170460,120104,0,290564,8717,-50356,50356,58.7%,41.3%,0.0%,-17.3%,"-50,356",x,Clinton
West Virginia,WV-1,R+14,David McKinley,R,73534,163469,0,237003,7110,89935,-89935,31.0%,69.0%,0.0%,37.9%,"89,935",x,Trump
West Virginia,WV-2,R+11,Alex Mooney,R,101207,140807,0,242014,7260,39600,-39600,41.8%,58.2%,0.0%,16.4%,"39,600",x,Trump
West Virginia,WV-3,R+14,Evan Jenkins,R,49708,140741,16883,207332,6220,107916,-74150,24.0%,67.9%,8.1%,43.9%,"91,033",x,Trump
Wisconsin,WI-1,R+3,Paul Ryan,R,107003,230072,17170,354245,10627,140239,-105899,30.2%,64.9%,4.8%,34.7%,"123,069",x,Trump
Wisconsin,WI-2,D+17,Mark Pocan,D,273537,124044,479,398060,11942,-149014,149972,68.7%,31.2%,0.1%,-37.6%,"-149,493",x,Clinton
Wisconsin,WI-3,D+5,Ron Kind,D,257401,0,2969,260370,7811,-254432,260370,98.9%,0.0%,1.1%,-98.9%,"-257,401",x,Trump
Wisconsin,WI-4,D+23,Gwen Moore,D,220181,0,66728,286909,8607,-153453,286909,76.7%,0.0%,23.3%,-76.7%,"-220,181",x,Clinton
Wisconsin,WI-5,R+13,Jim Sensenbrenner,R,114477,260706,15661,390844,11725,161890,-130568,29.3%,66.7%,4.0%,37.4%,"146,229",x,Trump
Wisconsin,WI-6,R+5,Glenn Grothman,R,133072,204147,19964,357183,10715,91039,-51111,37.3%,57.2%,5.6%,19.9%,"71,075",x,Trump
Wisconsin,WI-7,R+2,Sean Duffy,R,138643,223418,210,362271,10868,84985,-84565,38.3%,61.7%,0.1%,23.4%,"84,775",x,Trump
Wisconsin,WI-8,R+2,Mike Gallagher,R,"135,682","227,892",206,"363,780",10913,"92,416",-92004,37.3%,62.6%,0.1%,25.3%,"92,210",x,Trump
Wyoming,WY-AL,R+22,Liz Cheney,R,75466,156176,20134,251776,7553,100844,-60576,30.0%,62.0%,8.0%,32.1%,"80,710",x,Trump
