State,District,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Total Votes,"Field
Margin",All_minus_Dem,All_minus_GOP,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Texas,TX-21,R+12,Lamar Smith,R,129765,202967,23299,356031,10681,96501,-49903,36.4%,57.0%,6.5%,20.6%,"73,202",x,Trump
Texas,TX-22,R+15,Pete Olson,R,123679,181864,0,305543,9166,58185,-58185,40.5%,59.5%,0.0%,19.0%,"58,185",x,Trump
Texas,TX-23,R+3,Will Hurd,R,107526,110577,10862,228965,6869,13913,7811,47.0%,48.3%,4.7%,1.3%,"3,051",x,Clinton
Texas,TX-24,R+13,Kenny Marchant,R,108389,154845,12401,275635,8269,58857,-34055,39.3%,56.2%,4.5%,16.9%,"46,456",x,Trump
Texas,TX-25,R+12,Roger Williams,R,117073,180988,12135,310196,9306,76050,-51780,37.7%,58.3%,3.9%,20.6%,"63,915",x,Trump
Texas,TX-26,R+20,Michael Burgess,R,94507,211730,12843,319080,9572,130066,-104380,29.6%,66.4%,4.0%,36.7%,"117,223",x,Trump
Texas,TX-27,R+13,Blake Farenthold,R,88329,142251,0,230580,6917,53922,-53922,38.3%,61.7%,0.0%,23.4%,"53,922",x,Trump
Texas,TX-28,D+7,Henry Cuellar,D,122086,57740,4616,184442,5533,-59730,68962,66.2%,31.3%,2.5%,-34.9%,"-64,346",x,Clinton
Texas,TX-29,D+12,Gene Green,D,95649,31646,4687,131982,3959,-59316,68690,72.5%,24.0%,3.6%,-48.5%,"-64,003",x,Clinton
Texas,TX-30,D+27,Eddie Bernice Johnson,D,170502,31518,6806,208826,6265,-132178,145790,81.6%,15.1%,3.3%,-66.6%,"-138,984",x,Clinton
Texas,TX-31,R+12,John Carter,R,103852,166060,14676,284588,8538,76884,-47532,36.5%,58.4%,5.2%,21.9%,"62,208",x,Trump
Texas,TX-32,R+10,Pete Sessions,R,0,162868,66303,229171,6875,229171,-96565,0.0%,71.1%,28.9%,71.1%,"162,868",x,Clinton
Texas,TX-33,D+18,Marc Veasey,D,93147,33222,0,126369,3791,-59925,59925,73.7%,26.3%,0.0%,-47.4%,"-59,925",x,Clinton
Texas,TX-34,D+8,Filemon Vela,D,104638,62323,0,166961,5009,-42315,42315,62.7%,37.3%,0.0%,-25.3%,"-42,315",x,Clinton
Texas,TX-35,D+11,Lloyd Doggett,D,124612,62384,10580,197576,5927,-51648,72808,63.1%,31.6%,5.4%,-31.5%,"-62,228",x,Clinton
Texas,TX-36,R+25,Brian Babin,R,0,193675,24890,218565,6557,218565,-168785,0.0%,88.6%,11.4%,88.6%,"193,675",x,Trump
Utah,UT-1,R+27,Rob Bishop,R,73381,182928,21146,277455,8324,130693,-88401,26.4%,65.9%,7.6%,39.5%,"109,547",x,Trump
Utah,UT-2,R+18,Chris Stewart,R,93780,170542,12519,276841,8305,89281,-64243,33.9%,61.6%,4.5%,27.7%,"76,762",x,Trump
Utah,UT-3,R+28,Jason Chaffetz,R,75716,209589,0,285305,8559,133873,-133873,26.5%,73.5%,0.0%,46.9%,"133,873",x,Trump
Utah,UT-4,R+16,Mia Love,R,113413,147597,13559,274569,8237,47743,-20625,41.3%,53.8%,4.9%,12.5%,"34,184",x,Trump
Vermont,VT-AL,D+16,Peter Welch,D,264414,0,30920,295334,8860,-233494,295334,89.5%,0.0%,10.5%,-89.5%,"-264,414",x,Clinton
Virginia,VA-1,R+8,Rob Wittman,R,140785,230213,13603,384601,11538,103031,-75825,36.6%,59.9%,3.5%,23.3%,"89,428",x,Trump
Virginia,VA-2,R+4,Scott Taylor,R,119440,190475,653,310568,9317,71688,-70382,38.5%,61.3%,0.2%,22.9%,"71,035",x,Trump
Virginia,VA-3,D+15,Bobby Scott,D,208337,103289,714,312340,9370,-104334,105762,66.7%,33.1%,0.2%,-33.6%,"-105,048",x,Clinton
Virginia,VA-4,D+8,Don McEachin,D,200136,145731,789,346656,10400,-53616,55194,57.7%,42.0%,0.2%,-15.7%,"-54,405",x,Clinton
Virginia,VA-5,R+5,Tom Garrett,R,148339,207758,659,356756,10703,60078,-58760,41.6%,58.2%,0.2%,16.7%,"59,419",x,Trump
Virginia,VA-6,R+12,Bob Goodlatte,R,112170,225471,768,338409,10152,114069,-112533,33.1%,66.6%,0.2%,33.5%,"113,301",x,Trump
Virginia,VA-7,R+8,Dave Brat,R,160159,218057,947,379163,11375,58845,-56951,42.2%,57.5%,0.2%,15.3%,"57,898",x,Trump
Virginia,VA-8,D+16,Don Beyer,D,246653,98387,15636,360676,10820,-132630,163902,68.4%,27.3%,4.3%,-41.1%,"-148,266",x,Clinton
Virginia,VA-9,R+15,Morgan Griffith,R,87877,212838,9599,310314,9309,134560,-115362,28.3%,68.6%,3.1%,40.3%,"124,961",x,Trump
Virginia,VA-10,R+2,Barbara Comstock,R,187712,210791,1580,400083,12002,24659,-21499,46.9%,52.7%,0.4%,5.8%,"23,079",x,Clinton
Virginia,VA-11,D+10,Gerry Connolly,D,247818,0,34185,282003,8460,-213633,282003,87.9%,0.0%,12.1%,-87.9%,"-247,818",x,Clinton
