State,,,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Massachusetts,MA,-,6,D+4,Seth Moulton,D,"308,923",0,"5,132",98.4%,0.0%,1.6%,-98.4%,"-308,923",x,Clinton
Massachusetts,MA,-,7,D+31,Mike Capuano,D,"253,354",0,"3,557",98.6%,0.0%,1.4%,-98.6%,"-253,354",x,Clinton
Massachusetts,MA,-,8,D+6,Stephen Lynch,D,"271,019","102,744",502,72.4%,27.5%,0.1%,-45.0%,"-168,275",x,Clinton
Massachusetts,MA,-,9,D+5,Bill Keating,D,"211,790","127,803","40,302",55.7%,33.6%,10.6%,-22.1%,"-83,987",x,Clinton
Michigan,MI,-,1,R+5,Jack Bergman,R,"144,334","197,777","18,160",40.1%,54.9%,5.0%,14.8%,"53,443",x,Trump
Michigan,MI,-,2,R+7,Bill Huizenga,R,"110,391","212,508","16,429",32.5%,62.6%,4.8%,30.1%,"102,117",x,Trump
Michigan,MI,-,3,R+4,Justin Amash,R,"128,400","203,545","10,420",37.5%,59.5%,3.0%,21.9%,"75,145",x,Trump
Michigan,MI,-,4,R+5,John Moolenaar,R,"101,277","194,572","19,902",32.1%,61.6%,6.3%,29.5%,"93,295",x,Trump
Michigan,MI,-,5,D+10,Daniel Kildee,D,"195,279","112,102","11,910",61.2%,35.1%,3.7%,-26.1%,"-83,177",x,Clinton
Michigan,MI,-,6,R+1,Fred Upton,R,"119,980","193,246","16,326",36.4%,58.6%,5.0%,22.2%,"73,266",x,Trump
Michigan,MI,-,7,R+3,Tim Walberg,R,"134,010","184,321","16,476",40.0%,55.1%,4.9%,15.0%,"50,311",x,Trump
Michigan,MI,-,8,R+2,Mike Bishop,R,"143,791","205,629","17,548",39.2%,56.0%,4.8%,16.9%,"61,838",x,Trump
Michigan,MI,-,9,D+6,Sander Levin,D,"199,661","128,937","16,177",57.9%,37.4%,4.7%,-20.5%,"-70,724",x,Clinton
Michigan,MI,-,10,R+6,Paul Mitchell,R,"110,112","215,132","15,739",32.3%,63.1%,4.6%,30.8%,"105,020",x,Trump
Michigan,MI,-,11,R+4,Dave Trott,R,"152,461","200,872","26,155",40.2%,52.9%,6.9%,12.8%,"48,411",x,Trump
Michigan,MI,-,12,D+15,Debbie Dingell,D,"211,378","96,104","21,060",64.3%,29.3%,6.4%,-35.1%,"-115,274",x,Clinton
Michigan,MI,-,13,D+34,John Conyers,D,"198,771","40,541","18,485",77.1%,15.7%,7.2%,-61.4%,"-158,230",x,Clinton
Michigan,MI,-,14,D+29,Brenda Lawrence,D,"244,135","58,103","8,736",78.5%,18.7%,2.8%,-59.8%,"-186,032",x,Clinton
Minnesota,MN,-,1,R+1,Tim Walz,D,"169,074","166,526",277,50.3%,49.6%,0.1%,-0.8%,"-2,548",x,Trump
Minnesota,MN,-,2,R+2,Jason Lewis,R,"167,315","173,970","29,229",45.2%,47.0%,7.9%,1.8%,"6,655",x,Trump
Minnesota,MN,-,3,R+2,Erik Paulsen,R,"169,243","223,077","1,144",43.0%,56.7%,0.3%,13.7%,"53,834",x,Clinton
Minnesota,MN,-,4,D+11,Betty McCollum,D,"203,299","121,032","27,613",57.8%,34.4%,7.8%,-23.4%,"-82,267",x,Clinton
Minnesota,MN,-,5,D+22,Keith Ellison,D,"249,964","80,660","31,258",69.1%,22.3%,8.6%,-46.8%,"-169,304",x,Clinton
Minnesota,MN,-,6,R+10,Tom Emmer,R,"123,008","235,380",536,34.3%,65.6%,0.1%,31.3%,"112,372",x,Trump
Minnesota,MN,-,7,R+6,Collin Peterson,D,"173,589","156,952",307,52.5%,47.4%,0.1%,-5.0%,"-16,637",x,Trump
Minnesota,MN,-,8,D+1,Rick Nolan,D,"179,098","177,089",792,50.2%,49.6%,0.2%,-0.6%,"-2,009",x,Trump
Mississippi,MS,-,1,R+16,Trent Kelly,R,"83,947","206,455","10,021",27.9%,68.7%,3.3%,40.8%,"122,508",x,Trump
Mississippi,MS,-,2,D+13,Bennie Thompson,D,"192,343","83,542","10,741",67.1%,29.1%,3.7%,-38.0%,"-108,801",x,Clinton
Mississippi,MS,-,3,R+14,Gregg Harper,R,"96,101","209,490","10,854",30.4%,66.2%,3.4%,35.8%,"113,389",x,Trump
Mississippi,MS,-,4,R+21,Steven Palazzo,R,"77,505","181,323","19,951",27.8%,65.0%,7.2%,37.2%,"103,818",x,Trump
Missouri,MO,-,1,D+28,Lacy Clay,D,"236,993","62,714","14,317",75.5%,20.0%,4.6%,-55.5%,"-174,279",x,Clinton
Missouri,MO,-,2,R+8,Ann Wagner,R,"155,689","241,954","15,653",37.7%,58.5%,3.8%,20.9%,"86,265",x,Trump
Missouri,MO,-,3,R+13,Blaine Luetkemeyer,R,"102,891","249,865","15,577",27.9%,67.8%,4.2%,39.9%,"146,974",x,Trump
Missouri,MO,-,4,R+13,Vicky Hartzler,R,"92,510","225,348","14,376",27.8%,67.8%,4.3%,40.0%,"132,838",x,Trump
Missouri,MO,-,5,D+9,Emanuel Cleaver,D,"190,766","123,771","9,733",58.8%,38.2%,3.0%,-20.7%,"-66,995",x,Clinton
Missouri,MO,-,6,R+12,Sam Graves,R,"99,692","238,388","12,364",28.4%,68.0%,3.5%,39.6%,"138,696",x,Trump
Missouri,MO,-,7,R+19,Billy Long,R,"92,756","228,692","17,159",27.4%,67.5%,5.1%,40.1%,"135,936",x,Trump
Missouri,MO,-,8,R+17,Jason Smith,R,"70,009","229,792","9,070",22.7%,74.4%,2.9%,51.7%,"159,783",x,Trump
Montana,MT,-,AL,R+7,Ryan Zinke,R,"205,919","285,358","16,554",40.5%,56.2%,3.3%,15.6%,"79,439",x,Trump
Nebraska,NE,-,1,R+10,Jeff Fortenberry,R,"83,467","189,771",0,30.5%,69.5%,0.0%,38.9%,"106,304",x,Trump
Nebraska,NE,-,2,R+4,Don Bacon,R,"137,602","141,066","9,640",47.7%,48.9%,3.3%,1.2%,"3,464",x,Trump
Nebraska,NE,-,3,R+23,Adrian Smith,R,0,"226,720",0,0.0%,100.0%,0.0%,100.0%,"226,720",x,Trump
Nevada,NV,-,1,D+14,Dina Titus,D,"116,537","54,174","17,641",61.9%,28.8%,9.4%,-33.1%,"-62,363",x,Clinton
Nevada,NV,-,2,R+5,Mark Amodei,R,"115,722","182,676","14,938",36.9%,58.3%,4.8%,21.4%,"66,954",x,Trump
Nevada,NV,-,3,EVEN,Jacky Rosen,D,"146,869","142,926","21,168",47.2%,46.0%,6.8%,-1.3%,"-3,943",x,Trump
Nevada,NV,-,4,D+4,Ruben Kihuen,D,"128,985","118,328","18,533",48.5%,44.5%,7.0%,-4.0%,"-10,657",x,Clinton
New Hampshire,NH,-,1,R+1,Carol Shea-Porter,D,"161,828","157,011","34,612",45.8%,44.4%,9.8%,-1.4%,"-4,817",x,Trump
New Hampshire,NH,-,2,D+3,Annie Kuster,D,"174,386","158,960","16,843",49.8%,45.4%,4.8%,-4.4%,"-15,426",x,Clinton
New Jersey,NJ,-,1,D+13,Donald Norcross,D,"183,231","112,388","9,854",60.0%,36.8%,3.2%,-23.2%,"-70,843",x,Clinton
New Jersey,NJ,-,2,D+1,Frank LoBiondo,R,"110,838","176,338","10,619",37.2%,59.2%,3.6%,22.0%,"65,500",x,Trump
New Jersey,NJ,-,3,R+1,Tom MacArthur,R,"127,526","194,596","5,938",38.9%,59.3%,1.8%,20.4%,"67,070",x,Trump
New Jersey,NJ,-,4,R+7,Chris Smith,R,"111,532","211,992","9,160",33.5%,63.7%,2.8%,30.2%,"100,460",x,Trump
New Jersey,NJ,-,5,R+4,Josh Gottheimer,D,"172,587","157,690","7,424",51.1%,46.7%,2.2%,-4.4%,"-14,897",x,Trump
New Jersey,NJ,-,6,D+8,Frank Pallone,D,"167,895","91,908","3,632",63.7%,34.9%,1.4%,-28.8%,"-75,987",x,Clinton
New Jersey,NJ,-,7,R+6,Leonard Lance,R,"148,188","185,850","9,597",43.1%,54.1%,2.8%,11.0%,"37,662",x,Clinton
New Jersey,NJ,-,8,D+24,Albio Sires,D,"134,733","32,337","7,819",77.0%,18.5%,4.5%,-58.5%,"-102,396",x,Clinton
New Jersey,NJ,-,9,D+14,Bill Pascrell,D,"162,642","65,376","5,224",69.7%,28.0%,2.2%,-41.7%,"-97,266",x,Clinton
New Jersey,NJ,-,10,D+34,Donald Payne Jr.,D,"190,856","26,450","5,465",85.7%,11.9%,2.5%,-73.8%,"-164,406",x,Clinton
New Jersey,NJ,-,11,R+6,Rodney Frelinghuysen,R,"130,162","194,299","10,531",38.9%,58.0%,3.1%,19.1%,"64,137",x,Trump
New Jersey,NJ,-,12,D+14,Bonnie Watson Coleman,D,"181,430","92,407","14,797",62.9%,32.0%,5.1%,-30.8%,"-89,023",x,Clinton
New Mexico,NM,-,1,D+7,Michelle Lujan Grisham,D,"181,088","96,879",0,65.1%,34.9%,0.0%,-30.3%,"-84,209",x,Clinton
New Mexico,NM,-,2,R+5,Steve Pearce,R,"85,232","143,514",67,37.2%,62.7%,0.0%,25.5%,"58,282",x,Trump
New Mexico,NM,-,3,D+8,Ben R. Lujan,D,"170,612","102,730",0,62.4%,37.6%,0.0%,-24.8%,"-67,882",x,Clinton
New York,NY,-,1,R+2,Lee Zeldin,R,"135,278","188,499",113,41.8%,58.2%,0.0%,16.4%,"53,221",x,Trump
New York,NY,-,2,R+1,Peter King,R,"110,938","181,506",151,37.9%,62.0%,0.1%,24.1%,"70,568",x,Trump
New York,NY,-,3,EVEN,Tom Suozzi,D,"171,775","152,304",175,53.0%,47.0%,0.1%,-6.0%,"-19,471",x,Clinton
New York,NY,-,4,D+3,Kathleen Rice,D,"186,423","126,438",139,59.6%,40.4%,0.0%,-19.2%,"-59,985",x,Clinton
New York,NY,-,5,D+35,Gregory Meeks,D,"199,815","30,312","3,726",85.4%,13.0%,1.6%,-72.5%,"-169,503",x,Clinton
New York,NY,-,6,D+13,Grace Meng,D,"136,506","50,617","2,310",72.1%,26.7%,1.2%,-45.3%,"-85,889",x,Clinton
New York,NY,-,7,D+34,Nydia Velazquez,D,"172,146","17,478",266,90.7%,9.2%,0.1%,-81.5%,"-154,668",x,Clinton
New York,NY,-,8,D+35,Hakeem Jeffries,D,"214,595",0,"15,608",93.2%,0.0%,6.8%,-93.2%,"-214,595",x,Clinton
New York,NY,-,9,D+32,Yvette Clarke,D,"214,189",0,"17,905",92.3%,0.0%,7.7%,-92.3%,"-214,189",x,Clinton
New York,NY,-,10,D+23,Jerrold Nadler,D,"192,371","53,857",297,78.0%,21.8%,0.1%,-56.2%,"-138,514",x,Clinton
New York,NY,-,11,R+2,Daniel Donovan,R,"85,257","142,934","4,126",36.7%,61.5%,1.8%,24.8%,"57,677",x,Trump
New York,NY,-,12,D+27,Carolyn Maloney,D,"244,358","49,399",314,83.1%,16.8%,0.1%,-66.3%,"-194,959",x,Clinton
New York,NY,-,13,D+42,Adriano Espaillat,D,"207,194","16,089","10,454",88.6%,6.9%,4.5%,-81.8%,"-191,105",x,Clinton
New York,NY,-,14,D+26,Joe Crowley,D,"147,587","30,545",191,82.8%,17.1%,0.1%,-65.6%,"-117,042",x,Clinton
New York,NY,-,15,D+43,Jose E. Serrano,D,"165,688","6,129","2,219",95.2%,3.5%,1.3%,-91.7%,"-159,559",x,Clinton
New York,NY,-,16,D+21,Eliot Engel,D,"209,857",0,"12,373",94.4%,0.0%,5.6%,-94.4%,"-209,857",x,Clinton
New York,NY,-,17,D+5,Nita Lowey,D,"214,530",0,"2,055",99.1%,0.0%,0.9%,-99.1%,"-214,530",x,Clinton
New York,NY,-,18,EVEN,Sean Patrick Maloney,D,"162,060","129,369",98,55.6%,44.4%,0.0%,-11.2%,"-32,691",x,Trump
New York,NY,-,19,D+1,John Faso,R,"141,224","166,171",219,45.9%,54.0%,0.1%,8.1%,"24,947",x,Trump
New York,NY,-,20,D+7,Paul Tonko,D,"213,018","100,740",181,67.9%,32.1%,0.1%,-35.8%,"-112,278",x,Clinton
New York,NY,-,21,EVEN,Elise Stefanik,R,"82,161","177,886","12,559",30.1%,65.3%,4.6%,35.1%,"95,725",x,Trump
New York,NY,-,22,R+3,Claudia Tenney,R,"114,266","129,444","34,821",41.0%,46.5%,12.5%,5.4%,"15,178",x,Trump
New York,NY,-,23,R+3,Tom Reed,R,"118,584","161,050",101,42.4%,57.6%,0.0%,15.2%,"42,466",x,Trump
New York,NY,-,24,D+5,John Katko,R,"119,040","182,761",314,39.4%,60.5%,0.1%,21.1%,"63,721",x,Clinton
New York,NY,-,25,D+7,Louise M. Slaughter,D,"182,950","142,650",231,56.1%,43.8%,0.1%,-12.4%,"-40,300",x,Clinton
New York,NY,-,26,D+12,Brian Higgins,D,"215,289","73,377",13,74.6%,25.4%,0.0%,-49.2%,"-141,912",x,Clinton
New York,NY,-,27,R+8,Chris Collins,R,"107,832","220,885",92,32.8%,67.2%,0.0%,34.4%,"113,053",x,Trump
North Carolina,NC,-,1,D+15,G.K. Butterfield,D,"240,661","101,567","8,471",68.6%,29.0%,2.4%,-39.7%,"-139,094",x,Clinton
North Carolina,NC,-,2,R+8,George Holding,R,"169,082","221,485",0,43.3%,56.7%,0.0%,13.4%,"52,403",x,Trump
North Carolina,NC,-,3,R+11,Walter Jones,R,"106,170","217,531",0,32.8%,67.2%,0.0%,34.4%,"111,361",x,Trump
North Carolina,NC,-,4,D+13,David Price,D,"279,380","130,161",0,68.2%,31.8%,0.0%,-36.4%,"-149,219",x,Clinton
North Carolina,NC,-,5,R+9,Virginia Foxx,R,"147,887","207,625",0,41.6%,58.4%,0.0%,16.8%,"59,738",x,Trump
North Carolina,NC,-,6,R+10,Mark Walker,R,"143,167","207,983",0,40.8%,59.2%,0.0%,18.5%,"64,816",x,Trump
North Carolina,NC,-,7,R+9,David Rouzer,R,"135,905","211,801",0,39.1%,60.9%,0.0%,21.8%,"75,896",x,Trump
North Carolina,NC,-,8,R+8,Richard Hudson,R,"133,182","189,863",0,41.2%,58.8%,0.0%,17.5%,"56,681",x,Trump
North Carolina,NC,-,9,R+8,Robert Pittenger,R,"139,041","193,452",0,41.8%,58.2%,0.0%,16.4%,"54,411",x,Trump
North Carolina,NC,-,10,R+11,Patrick McHenry,R,"128,919","220,825",0,36.9%,63.1%,0.0%,26.3%,"91,906",x,Trump
North Carolina,NC,-,11,R+12,Mark Meadows,R,"129,103","230,405",0,35.9%,64.1%,0.0%,28.2%,"101,302",x,Trump
North Carolina,NC,-,12,D+16,Alma Adams,D,"234,115","115,185",0,67.0%,33.0%,0.0%,-34.0%,"-118,930",x,Clinton
North Carolina,NC,-,13,R+5,Ted Budd,R,"156,049","199,443",0,43.9%,56.1%,0.0%,12.2%,"43,394",x,Trump
North Dakota,ND,-,AL,R+10,Kevin Cramer,R,"80,377","233,980","24,102",23.7%,69.1%,7.1%,45.4%,"153,603",x,Trump
Ohio,OH,-,1,R+6,Steve Chabot,R,"144,644","210,014",130,40.8%,59.2%,0.0%,18.4%,"65,370",x,Trump
Ohio,OH,-,2,R+8,Brad Wenstrup,R,"111,694","221,193","7,392",32.8%,65.0%,2.2%,32.2%,"109,499",x,Trump
Ohio,OH,-,3,D+17,Joyce Beatty,D,"199,791","91,560",0,68.6%,31.4%,0.0%,-37.1%,"-108,231",x,Clinton
Ohio,OH,-,4,R+9,Jim Jordan,R,"98,981","210,227",0,32.0%,68.0%,0.0%,36.0%,"111,246",x,Trump
Ohio,OH,-,5,R+7,Bob Latta,R,"100,392","244,599",0,29.1%,70.9%,0.0%,41.8%,"144,207",x,Trump
Ohio,OH,-,6,R+8,Bill Johnson,R,"88,780","213,975",0,29.3%,70.7%,0.0%,41.4%,"125,195",x,Trump
Ohio,OH,-,7,R+6,Bob Gibbs,R,"89,638","198,221","21,694",29.0%,64.0%,7.0%,35.1%,"108,583",x,Trump
Ohio,OH,-,8,R+15,Warren Davidson,R,"87,794","223,833","13,879",27.0%,68.8%,4.3%,41.8%,"136,039",x,Trump
Ohio,OH,-,9,D+15,Marcy Kaptur,D,"193,966","88,427",5,68.7%,31.3%,0.0%,-37.4%,"-105,539",x,Clinton
Ohio,OH,-,10,R+3,Mike Turner,R,"109,981","215,724","10,897",32.7%,64.1%,3.2%,31.4%,"105,743",x,Trump
Ohio,OH,-,11,D+30,Marcia Fudge,D,"242,917","59,769",0,80.3%,19.7%,0.0%,-60.5%,"-183,148",x,Clinton
Ohio,OH,-,12,R+8,Pat Tiberi,R,"112,638","251,266","13,630",29.8%,66.6%,3.6%,36.7%,"138,628",x,Trump
Ohio,OH,-,13,D+11,Tim Ryan,D,"208,610","99,377",17,67.7%,32.3%,0.0%,-35.5%,"-109,233",x,Clinton
Ohio,OH,-,14,R+4,David Joyce,R,"130,907","219,191",171,37.4%,62.6%,0.0%,25.2%,"88,284",x,Trump
Ohio,OH,-,15,R+6,Steve Stivers,R,"113,960","222,847",0,33.8%,66.2%,0.0%,32.3%,"108,887",x,Trump
Ohio,OH,-,16,R+6,Jim Renacci,R,"119,830","225,794",0,34.7%,65.3%,0.0%,30.7%,"105,964",x,Trump
Oklahoma,OK,-,1,R+18,Jim Bridenstine,R,0,0,0,0.0%,100.0%,0.0%,100.0%,0,x,Trump
Oklahoma,OK,-,2,R+20,Markwayne Mullin,R,"62,387","189,839","16,644",23.2%,70.6%,6.2%,47.4%,"127,452",x,Trump
Oklahoma,OK,-,3,R+26,Frank Lucas,R,"63,090","227,525",0,21.7%,78.3%,0.0%,56.6%,"164,435",x,Trump
Oklahoma,OK,-,4,R+19,Tom Cole,R,"76,472","204,143","12,574",26.1%,69.6%,4.3%,43.5%,"127,671",x,Trump
Oklahoma,OK,-,5,R+12,Steve Russell,R,"103,273","160,184","17,113",36.8%,57.1%,6.1%,20.3%,"56,911",x,Trump
Oregon,OR,-,1,D+7,Suzanne Bonamici,D,"225,391","139,756","12,948",59.6%,37.0%,3.4%,-22.6%,"-85,635",x,Clinton
Oregon,OR,-,2,R+10,Greg Walden,R,"106,640","272,952","1,147",28.0%,71.7%,0.3%,43.7%,"166,312",x,Trump
Oregon,OR,-,3,D+22,Earl Blumenauer,D,"274,687",0,"107,668",71.8%,0.0%,28.2%,-71.8%,"-274,687",x,Clinton
Oregon,OR,-,4,D+2,Peter DeFazio,D,"220,628","157,743","19,197",55.5%,39.7%,4.8%,-15.8%,"-62,885",x,Clinton
Oregon,OR,-,5,EVEN,Kurt Schrader,D,"199,505","160,443","13,160",53.5%,43.0%,3.5%,-10.5%,"-39,062",x,Clinton
Pennsylvania,PA,-,1,D+28,Robert Brady,D,"245,791","53,219",0,82.2%,17.8%,0.0%,-64.4%,"-192,572",x,Clinton
Pennsylvania,PA,-,2,D+38,Dwight Evans,D,"322,514","35,131",0,90.2%,9.8%,0.0%,-80.4%,"-287,383",x,Clinton
Pennsylvania,PA,-,3,R+8,Mike Kelly,R,0,"244,893",0,0.0%,100.0%,0.0%,100.0%,"244,893",x,Trump
Pennsylvania,PA,-,4,R+9,Scott Perry,R,"113,372","220,628",0,33.9%,66.1%,0.0%,32.1%,"107,256",x,Trump
Pennsylvania,PA,-,5,R+8,Glenn Thompson,R,"101,082","206,751",0,32.8%,67.2%,0.0%,34.3%,"105,669",x,Trump
Pennsylvania,PA,-,6,R+2,Ryan Costello,R,"153,632","206,414",0,42.7%,57.3%,0.0%,14.7%,"52,782",x,Clinton
Pennsylvania,PA,-,7,R+2,Patrick Meehan,R,"153,824","225,678",0,40.5%,59.5%,0.0%,18.9%,"71,854",x,Clinton
Pennsylvania,PA,-,8,R+1,Brian Fitzpatrick,R,"173,555","207,469",0,45.5%,54.5%,0.0%,8.9%,"33,914",x,Trump
Pennsylvania,PA,-,9,R+14,Bill Shuster,R,"107,985","186,580",0,36.7%,63.3%,0.0%,26.7%,"78,595",x,Trump
Pennsylvania,PA,-,10,R+12,Tom Marino,R,"89,823","211,282",0,29.8%,70.2%,0.0%,40.3%,"121,459",x,Trump
Pennsylvania,PA,-,11,R+6,Lou Barletta,R,"113,800","199,421",0,36.3%,63.7%,0.0%,27.3%,"85,621",x,Trump
Pennsylvania,PA,-,12,R+9,Keith Rothfus,R,"137,353","221,851",0,38.2%,61.8%,0.0%,23.5%,"84,498",x,Trump
Pennsylvania,PA,-,13,D+13,Brendan Boyle,D,"239,316",0,0,100.0%,0.0%,0.0%,-100.0%,"-239,316",x,Clinton
Pennsylvania,PA,-,14,D+15,Mike Doyle,D,"255,293","87,999",0,74.4%,25.6%,0.0%,-48.7%,"-167,294",x,Clinton
Pennsylvania,PA,-,15,R+2,Charles Dent,R,"124,129","190,618","11,727",38.0%,58.4%,3.6%,20.4%,"66,489",x,Trump
Pennsylvania,PA,-,16,R+4,Lloyd Smucker,R,"134,586","168,669","10,518",42.9%,53.8%,3.4%,10.9%,"34,083",x,Trump
Pennsylvania,PA,-,17,D+4,Matthew Cartwright,D,"157,734","135,430",0,53.8%,46.2%,0.0%,-7.6%,"-22,304",x,Trump
Pennsylvania,PA,-,18,R+10,Tim Murphy,R,0,"293,684",0,0.0%,100.0%,0.0%,100.0%,"293,684",x,Trump
Rhode Island,RI,-,1,D+15,David Cicilline,D,"130,534","71,023",814,64.5%,35.1%,0.4%,-29.4%,"-59,511",x,Clinton
Rhode Island,RI,-,2,D+8,Jim Langevin,D,"133,108","70,301","25,739",58.1%,30.7%,11.2%,-27.4%,"-62,807",x,Clinton
South Carolina,SC,-,1,R+11,Mark Sanford,R,"119,779","190,410","14,981",36.8%,58.6%,4.6%,21.7%,"70,631",x,Trump
South Carolina,SC,-,2,R+16,Joe Wilson,R,"109,452","183,746","11,798",35.9%,60.2%,3.9%,24.4%,"74,294",x,Trump
South Carolina,SC,-,3,R+18,Jeff Duncan,R,"72,933","196,325",282,27.1%,72.8%,0.1%,45.8%,"123,392",x,Trump
South Carolina,SC,-,4,R+15,Trey Gowdy,R,"91,676","198,648","5,346",31.0%,67.2%,1.8%,36.2%,"106,972",x,Trump
South Carolina,SC,-,5,R+9,Mick Mulvaney,R,"105,772","161,669","5,565",38.7%,59.2%,2.0%,20.5%,"55,897",x,Trump
South Carolina,SC,-,6,D+21,Jim Clyburn,D,"177,947","70,099","5,855",70.1%,27.6%,2.3%,-42.5%,"-107,848",x,Clinton
South Carolina,SC,-,7,R+7,Tom Rice,R,"112,744","176,468",251,38.9%,61.0%,0.1%,22.0%,"63,724",x,Trump
South Dakota,SD,-,AL,R+10,Kristi Noem,R,"132,810","237,163",0,35.9%,64.1%,0.0%,28.2%,"104,353",x,Trump
Tennessee,TN,-,1,R+25,Phil Roe,R,"39,024","198,293","15,708",15.4%,78.4%,6.2%,62.9%,"159,269",x,Trump
Tennessee,TN,-,2,R+20,John Duncan,R,"68,401","212,455",0,24.4%,75.6%,0.0%,51.3%,"144,054",x,Trump
Tennessee,TN,-,3,R+16,Chuck Fleischmann,R,"76,727","176,613","12,666",28.8%,66.4%,4.8%,37.6%,"99,886",x,Trump
Tennessee,TN,-,4,R+18,Scott DesJarlais,R,"89,141","165,796",0,35.0%,65.0%,0.0%,30.1%,"76,655",x,Trump
Tennessee,TN,-,5,D+5,Jim Cooper,D,"171,111","102,433",0,62.6%,37.4%,0.0%,-25.1%,"-68,678",x,Clinton
Tennessee,TN,-,6,R+21,Diane Black,R,"61,995","202,234","20,261",21.8%,71.1%,7.1%,49.3%,"140,239",x,Trump
Tennessee,TN,-,7,R+18,Marsha Blackburn,R,"65,226","200,407","11,880",23.5%,72.2%,4.3%,48.7%,"135,181",x,Trump
Tennessee,TN,-,8,R+19,David Kustoff,R,"70,925","194,386","17,422",25.1%,68.8%,6.2%,43.7%,"123,461",x,Trump
Tennessee,TN,-,9,D+25,Steve Cohen,D,"171,631","41,123","5,203",78.7%,18.9%,2.4%,-59.9%,"-130,508",x,Clinton
Texas,TX,-,1,R+24,Louie Gohmert,R,"62,847","192,434","5,128",24.1%,73.9%,2.0%,49.8%,"129,587",x,Trump
Texas,TX,-,2,R+16,Ted Poe,R,"100,231","168,692","9,313",36.0%,60.6%,3.3%,24.6%,"68,461",x,Trump
Texas,TX,-,3,R+17,Sam Johnson,R,"109,420","193,684","13,363",34.6%,61.2%,4.2%,26.6%,"84,264",x,Trump
Texas,TX,-,4,R+25,John Ratcliffe,R,0,"216,643","29,577",0.0%,88.0%,12.0%,88.0%,"216,643",x,Trump
Texas,TX,-,5,R+17,Jeb Hensarling,R,0,"155,469","37,406",0.0%,80.6%,19.4%,80.6%,"155,469",x,Trump
Texas,TX,-,6,R+11,Joe Barton,R,"106,667","159,444","7,185",39.0%,58.3%,2.6%,19.3%,"52,777",x,Trump
Texas,TX,-,7,R+13,John Culberson,R,"111,991","143,542",0,43.8%,56.2%,0.0%,12.3%,"31,551",x,Clinton
Texas,TX,-,8,R+29,Kevin Brady,R,0,"236,379",0,0.0%,100.0%,0.0%,100.0%,"236,379",x,Trump
Texas,TX,-,9,D+25,Al Green,D,"152,032","36,491",0,80.6%,19.4%,0.0%,-61.3%,"-115,541",x,Clinton
Texas,TX,-,10,R+11,Michael McCaul,R,"120,170","179,221","13,209",38.4%,57.3%,4.2%,18.9%,"59,051",x,Trump
Texas,TX,-,11,R+31,Mike Conaway,R,0,"201,871","23,677",0.0%,89.5%,10.5%,89.5%,"201,871",x,Trump
Texas,TX,-,12,R+19,Kay Granger,R,"76,029","196,482","10,604",26.9%,69.4%,3.7%,42.5%,"120,453",x,Trump
Texas,TX,-,13,R+32,Mac Thornberry,R,0,"199,050","22,192",0.0%,90.0%,10.0%,90.0%,"199,050",x,Trump
Texas,TX,-,14,R+12,Randy Weber,R,"99,054","160,631",0,38.1%,61.9%,0.0%,23.7%,"61,577",x,Trump
Texas,TX,-,15,D+5,Vicente Gonzalez,D,"101,712","66,877","8,890",57.3%,37.7%,5.0%,-19.6%,"-34,835",x,Clinton
Texas,TX,-,16,D+12,Beto O'Rourke,D,"150,228",0,"25,001",85.7%,0.0%,14.3%,-85.7%,"-150,228",x,Clinton
Texas,TX,-,17,R+13,Bill Flores,R,"86,603","149,417","9,708",35.2%,60.8%,4.0%,25.6%,"62,814",x,Trump
Texas,TX,-,18,D+24,Sheila Jackson Lee,D,"150,157","48,306","5,845",73.5%,23.6%,2.9%,-49.9%,"-101,851",x,Clinton
Texas,TX,-,19,R+26,Jodey Arrington,R,0,"176,314","27,161",0.0%,86.7%,13.3%,86.7%,"176,314",x,Trump
Texas,TX,-,20,D+6,Joaquin Castro,D,"149,640",0,"38,029",79.7%,0.0%,20.3%,-79.7%,"-149,640",x,Clinton
Texas,TX,-,21,R+12,Lamar Smith,R,"129,765","202,967","23,299",36.4%,57.0%,6.5%,20.6%,"73,202",x,Trump
Texas,TX,-,22,R+15,Pete Olson,R,"123,679","181,864",0,40.5%,59.5%,0.0%,19.0%,"58,185",x,Trump
Texas,TX,-,23,R+3,Will Hurd,R,"107,526","110,577","10,862",47.0%,48.3%,4.7%,1.3%,"3,051",x,Clinton
Texas,TX,-,24,R+13,Kenny Marchant,R,"108,389","154,845","12,401",39.3%,56.2%,4.5%,16.9%,"46,456",x,Trump
Texas,TX,-,25,R+12,Roger Williams,R,"117,073","180,988","12,135",37.7%,58.3%,3.9%,20.6%,"63,915",x,Trump
Texas,TX,-,26,R+20,Michael Burgess,R,"94,507","211,730","12,843",29.6%,66.4%,4.0%,36.7%,"117,223",x,Trump
Texas,TX,-,27,R+13,Blake Farenthold,R,"88,329","142,251",0,38.3%,61.7%,0.0%,23.4%,"53,922",x,Trump
Texas,TX,-,28,D+7,Henry Cuellar,D,"122,086","57,740","4,616",66.2%,31.3%,2.5%,-34.9%,"-64,346",x,Clinton
